,bus_id,block_id,start_soc,end_soc,end_mile,total_block_mile,remaining_block_miles
148,2407,122,95,71,255,157.0,56.0
149,2407,13,95,65,233,176.0,63.0
150,2407,14,95,93,333,19.0,8.0
151,2407,15,95,64,230,193.0,70.0
152,2407,21X,95,74,265,185.0,53.0
153,2407,22,95,61,219,210.0,100.0
154,2407,23,95,71,254,166.0,57.0
155,2407,24,95,89,320,19.0,15.0
156,2407,25,95,65,235,180.0,69.0
157,2407,32,95,69,247,190.0,79.0
158,2407,33,95,70,253,164.0,63.0
159,2407,35,95,66,238,188.0,69.0
160,2407,42,95,71,256,188.0,78.0
161,2407,43,95,66,237,166.0,69.0
162,2407,45,95,66,236,188.0,82.0
163,2407,52,95,62,224,211.0,87.0
164,2407,62,95,58,210,218.0,93.0
165,2407,72,95,66,238,203.0,79.0
166,2407,82,95,72,257,180.0,56.0
167,2407,92,95,63,227,188.0,87.0
168,CCW707,102,84,38,52,195.0,93.0
169,CCW707,112,84,42,57,180.0,78.0
170,CCW707,11X,84,61,84,175.0,43.0
171,CCW707,12,84,39,53,213.0,102.0
172,CCW707,122,84,52,72,157.0,56.0
173,CCW707,13,84,45,62,176.0,63.0
174,CCW707,14,84,81,111,19.0,8.0
175,CCW707,15,84,40,55,193.0,70.0
176,CCW707,21X,84,55,76,185.0,53.0
177,CCW707,22,84,39,54,210.0,100.0
178,CCW707,23,84,51,70,166.0,57.0
179,CCW707,24,84,75,103,19.0,15.0
180,CCW707,25,84,44,60,180.0,69.0
181,CCW707,32,84,49,67,190.0,79.0
182,CCW707,33,84,50,69,164.0,63.0
183,CCW707,35,84,42,58,188.0,69.0
184,CCW707,42,84,49,68,188.0,78.0
185,CCW707,43,84,46,63,166.0,69.0
186,CCW707,45,84,41,56,188.0,82.0
187,CCW707,52,84,39,54,211.0,87.0
188,CCW707,62,84,35,49,218.0,93.0
189,CCW707,72,84,41,57,203.0,79.0
190,CCW707,82,84,52,72,180.0,56.0
191,CCW707,92,84,41,57,188.0,87.0
192,CCW736,102,63,17,37,195.0,93.0
193,CCW736,112,63,21,47,180.0,78.0
194,CCW736,11X,63,41,91,175.0,43.0
195,CCW736,12,63,17,38,213.0,102.0
196,CCW736,122,63,31,69,157.0,56.0
197,CCW736,13,63,24,54,176.0,63.0
198,CCW736,14,64,61,132,19.0,8.0
199,CCW736,15,63,20,46,193.0,70.0
200,CCW736,21X,63,35,77,185.0,53.0
201,CCW736,22,63,18,40,210.0,100.0
202,CCW736,23,63,30,67,166.0,57.0
203,CCW736,24,63,54,120,19.0,15.0
204,CCW736,25,63,23,51,180.0,69.0
205,CCW736,32,63,27,61,190.0,79.0
206,CCW736,33,63,30,67,164.0,63.0
207,CCW736,35,63,21,47,188.0,69.0
208,CCW736,42,63,28,63,188.0,78.0
209,CCW736,43,63,25,56,166.0,69.0
210,CCW736,45,63,20,45,188.0,82.0
211,CCW736,52,63,18,40,211.0,87.0
212,CCW736,62,63,14,32,218.0,93.0
213,CCW736,72,63,21,46,203.0,79.0
214,CCW736,82,63,32,70,180.0,56.0
215,CCW736,92,63,20,45,188.0,87.0
216,CCW768,102,58,12,27,195.0,93.0
217,CCW768,112,58,16,37,180.0,78.0
218,CCW768,11X,58,36,82,175.0,43.0
219,CCW768,12,58,12,29,213.0,102.0
220,CCW768,122,58,26,61,157.0,56.0
221,CCW768,13,58,19,44,176.0,63.0
222,CCW768,14,58,55,125,19.0,8.0
223,CCW768,15,58,15,35,193.0,70.0
224,CCW768,21X,58,30,69,185.0,53.0
225,CCW768,22,58,13,30,210.0,100.0
226,CCW768,23,58,25,58,166.0,57.0
227,CCW768,24,58,49,113,19.0,15.0
228,CCW768,25,58,18,42,180.0,69.0
229,CCW768,32,58,23,52,190.0,79.0
230,CCW768,33,58,25,57,164.0,63.0
231,CCW768,35,58,16,37,188.0,69.0
232,CCW768,42,58,23,54,188.0,78.0
233,CCW768,43,58,20,46,166.0,69.0
234,CCW768,45,58,15,34,188.0,82.0
235,CCW768,52,58,14,31,211.0,87.0
236,CCW768,62,58,9,21,218.0,93.0
237,CCW768,72,58,16,36,203.0,79.0
238,CCW768,82,58,27,61,180.0,56.0
239,CCW768,92,58,16,36,188.0,87.0
240,CCW775,102,2,-42,-1951,195.0,93.0
241,CCW775,112,2,-39,-1816,180.0,78.0
242,CCW775,11X,2,-17,-823,175.0,43.0
243,CCW775,12,2,-42,-1942,213.0,102.0
244,CCW775,122,2,-28,-1297,157.0,56.0
245,CCW775,13,2,-33,-1548,176.0,63.0
246,CCW775,14,2,0,-38,19.0,8.0
247,CCW775,15,2,-37,-1743,193.0,70.0
248,CCW775,21X,2,-24,-1133,185.0,53.0
249,CCW775,22,2,-42,-1970,210.0,100.0
250,CCW775,23,2,-27,-1287,166.0,57.0
251,CCW775,24,2,-5,-247,19.0,15.0
252,CCW775,25,2,-34,-1610,180.0,69.0
253,CCW775,32,2,-32,-1478,190.0,79.0
